=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.02.13 14:19:44 =~=~=~=~=~=~=~=~=~=~=~=
self test ok
3://V1_621.MPG
3://V1_300.MPG
3://V1_1730.MPG
Decoding 3://V1_621.MPG to VDMA
Decoder start. Num frames #621
Width 1280
Height 720
Num i frames 230
Payload Size 113133240
I frame index 0, position 20
I frame index 6, position 1220732
I frame index 7, position 1434028
I frame index 8, position 1636348
I frame index 9, position 1837012
I frame index 10, position 2033216
I frame index 11, position 2235160
I frame index 12, position 2434720
I frame index 16, position 3200168
I frame index 17, position 3404824
I frame index 18, position 3603160
I frame index 19, position 3795068
I frame index 20, position 3976652
I frame index 21, position 4159032
I frame index 22, position 4335496
I frame index 44, position 8008388
I frame index 45, position 8200888
I frame index 46, position 8392500
I frame index 47, position 8588120
I frame index 57, position 10379140
I frame index 76, position 13659376
I frame index 77, position 13853664
I frame index 78, position 14045168
I frame index 79, position 14232228
I frame index 80, position 14420024
I frame index 94, position 16839088
I frame index 95, position 17023036
I frame index 96, position 17209296
I frame index 97, position 17394808
I frame index 98, position 17581364
I frame index 122, position 21741316
I frame index 123, position 21927800
I frame index 124, position 22113024
I frame index 125, position 22294636
I frame index 130, position 23177932
I frame index 131, position 23357288
I frame index 132, position 23537592
I frame index 137, position 24385476
I frame index 138, position 24558608
I frame index 139, position 24719768
I frame index 140, position 24874972
I frame index 141, position 25029720
I frame index 142, position 25187952
I frame index 143, position 25345344
I frame index 144, position 25507308
I frame index 145, position 25670380
I frame index 146, position 25833116
I frame index 147, position 25997980
I frame index 148, position 26162332
I frame index 149, position 26323736
I frame index 150, position 26484872
I frame index 151, position 26643896
I frame index 152, position 26803636
I frame index 153, position 26962916
I frame index 154, position 27123328
I frame index 155, position 27286752
I frame index 161, position 28200660
I frame index 162, position 28372864
I frame index 163, position 28533360
I frame index 164, position 28678772
I frame index 165, position 28830548
I frame index 166, position 28985004
I frame index 167, position 29145032
I frame index 168, position 29308172
I frame index 169, position 29475612
I frame index 170, position 29646508
I frame index 171, position 29820692
I frame index 172, position 29994248
I frame index 173, position 30168216
I frame index 174, position 30339476
I frame index 175, position 30512196
I frame index 176, position 30686368
I frame index 177, position 30864740
I frame index 178, position 31048396
I frame index 179, position 31237076
I frame index 180, position 31429516
I frame index 181, position 31622244
I frame index 185, position 32413828
I frame index 186, position 32615300
I frame index 187, position 32817120
I frame index 188, position 33020200
I frame index 189, position 33222596
I frame index 190, position 33428064
I frame index 191, position 33625664
I frame index 192, position 33822444
I frame index 193, position 34020008
I frame index 194, position 34222224
I frame index 195, position 34423144
I frame index 210, position 37222096
I frame index 211, position 37422048
I frame index 212, position 37618852
I frame index 213, position 37805688
I frame index 214, position 37988588
I frame index 215, position 38169248
I frame index 216, position 38349900
I frame index 217, position 38531312
I frame index 218, position 38713776
I frame index 219, position 38903548
I frame index 220, position 39093200
I frame index 226, position 40256756
I frame index 229, position 40848360
I frame index 231, position 41240880
I frame index 255, position 45441456
I frame index 278, position 49598900
I frame index 286, position 51150380
I frame index 287, position 51367412
I frame index 288, position 51575688
I frame index 289, position 51778344
I frame index 290, position 51975504
I frame index 291, position 52174888
I frame index 292, position 52370860
I frame index 293, position 52563992
I frame index 294, position 52761720
I frame index 295, position 52962528
I frame index 310, position 55782792
I frame index 311, position 55988656
I frame index 312, position 56194804
I frame index 313, position 56399912
I frame index 314, position 56609528
I frame index 318, position 57414616
I frame index 319, position 57622848
I frame index 320, position 57823996
I frame index 321, position 58015356
I frame index 322, position 58191956
I frame index 323, position 58373420
I frame index 324, position 58538172
I frame index 325, position 58703768
I frame index 326, position 58874464
I frame index 327, position 59058484
I frame index 328, position 59250496
I frame index 329, position 59453460
I frame index 331, position 59861248
I frame index 334, position 60473004
I frame index 335, position 60683124
I frame index 339, position 61527800
I frame index 340, position 61737544
I frame index 341, position 61945288
I frame index 342, position 62153572
I frame index 343, position 62361760
I frame index 349, position 63599444
I frame index 350, position 63804560
I frame index 351, position 64006632
I frame index 352, position 64195984
I frame index 353, position 64384140
I frame index 354, position 64568868
I frame index 355, position 64753840
I frame index 356, position 64942204
I frame index 357, position 65130812
I frame index 359, position 65506264
I frame index 360, position 65698528
I frame index 361, position 65886152
I frame index 362, position 66071056
I frame index 363, position 66254036
I frame index 364, position 66439692
I frame index 365, position 66625224
I frame index 367, position 66999632
I frame index 372, position 67930608
I frame index 373, position 68120436
I frame index 374, position 68310380
